d,a,e
5.000000000000000000e+00,0.000000000000000000e+00,-4.371684646068791835e+01
5.000000000000000000e+00,5.000000000000000000e+00,-4.371684645976827710e+01
5.000000000000000000e+00,1.000000000000000000e+01,-4.371684645979123474e+01
5.000000000000000000e+00,1.500000000000000000e+01,-4.371684646075009795e+01
5.000000000000000000e+00,2.000000000000000000e+01,-4.371684646392436946e+01
5.000000000000000000e+00,2.500000000000000000e+01,-4.371684647087070630e+01
5.000000000000000000e+00,3.000000000000000000e+01,-4.371684648322117539e+01
5.000000000000000000e+00,3.500000000000000000e+01,-4.371684650235656022e+01
5.000000000000000000e+00,4.000000000000000000e+01,-4.371684652917326730e+01
5.000000000000000000e+00,4.500000000000000000e+01,-4.371684656395390078e+01
5.000000000000000000e+00,5.000000000000000000e+01,-4.371684660678255341e+01
5.000000000000000000e+00,5.500000000000000000e+01,-4.371684665899388733e+01
5.000000000000000000e+00,6.000000000000000000e+01,-4.371684672647458569e+01
5.000000000000000000e+00,6.500000000000000000e+01,-4.371684682563627433e+01
5.000000000000000000e+00,7.000000000000000000e+01,-4.371684699220261905e+01
5.000000000000000000e+00,7.500000000000000000e+01,-4.371684729041845685e+01
5.000000000000000000e+00,8.000000000000000000e+01,-4.371684781499621408e+01
5.000000000000000000e+00,8.500000000000000000e+01,-4.371684866930827695e+01
5.000000000000000000e+00,9.000000000000000000e+01,-4.371684989509962804e+01
5.000000000000000000e+00,9.500000000000000000e+01,-4.371685132775778015e+01
5.000000000000000000e+00,1.000000000000000000e+02,-4.371685235330572539e+01
5.000000000000000000e+00,1.050000000000000000e+02,-4.371685148579355484e+01
5.000000000000000000e+00,1.100000000000000000e+02,-4.371684538431166800e+01
5.000000000000000000e+00,1.150000000000000000e+02,-4.371682620856377355e+01
5.000000000000000000e+00,1.200000000000000000e+02,-4.371677488032410963e+01
5.000000000000000000e+00,1.250000000000000000e+02,-4.371664624360040818e+01
5.009999999999999787e+00,0.000000000000000000e+00,-4.371685106995266779e+01
5.009999999999999787e+00,5.000000000000000000e+00,-4.371685106902168627e+01
5.009999999999999787e+00,1.000000000000000000e+01,-4.371685106896283912e+01
5.009999999999999787e+00,1.500000000000000000e+01,-4.371685106978065249e+01
5.009999999999999787e+00,2.000000000000000000e+01,-4.371685107273960114e+01
5.009999999999999787e+00,2.500000000000000000e+01,-4.371685107939708104e+01
5.009999999999999787e+00,3.000000000000000000e+01,-4.371685109136866743e+01
5.009999999999999787e+00,3.500000000000000000e+01,-4.371685111004302371e+01
5.009999999999999787e+00,4.000000000000000000e+01,-4.371685113630827146e+01
5.009999999999999787e+00,4.500000000000000000e+01,-4.371685117042949997e+01
5.009999999999999787e+00,5.000000000000000000e+01,-4.371685121241613814e+01
5.009999999999999787e+00,5.500000000000000000e+01,-4.371685126341674277e+01
5.009999999999999787e+00,6.000000000000000000e+01,-4.371685132893435366e+01
5.009999999999999787e+00,6.500000000000000000e+01,-4.371685142468814433e+01
5.009999999999999787e+00,7.000000000000000000e+01,-4.371685158536416793e+01
5.009999999999999787e+00,7.500000000000000000e+01,-4.371685187399256733e+01
5.009999999999999787e+00,8.000000000000000000e+01,-4.371685238450884015e+01
5.009999999999999787e+00,8.500000000000000000e+01,-4.371685322113101080e+01
5.009999999999999787e+00,9.000000000000000000e+01,-4.371685442966015245e+01
5.009999999999999787e+00,9.500000000000000000e+01,-4.371685585416192055e+01
5.009999999999999787e+00,1.000000000000000000e+02,-4.371685689512156614e+01
5.009999999999999787e+00,1.050000000000000000e+02,-4.371685609213110979e+01
